"Hour","Casual","Member"
0,14.8872403560831,63.0657534246575
1,9.78501628664495,33.2739726027397
2,7.39416058394161,21.3074792243767
3,5.17937219730942,11.0112359550562
4,2.7117903930131,14.4368131868132
5,3.64918032786885,67.0383561643836
6,7.1178247734139,208.13698630137
7,15.8941504178273,488.695890410959
8,32.1291208791209,811.939726027397
9,44.7823691460055,475.520547945205
10,63.5287671232877,323.071232876712
11,81.4570637119114,357.586301369863
12,91.6730769230769,414.668493150685
13,97.3159340659341,408.838356164384
14,104.515151515152,395.468493150685
15,107.67397260274,457.939726027397
16,107.934065934066,597.331506849315
17,113.265753424658,895.117808219178
18,94.5851648351648,727.167123287671
19,72.8305555555555,484.471232876712
20,53.3813559322034,330.235616438356
21,40.0448179271709,235.695890410959
22,32.2234636871508,170.123287671233
23,21.8414985590778,110.47397260274
