"Hour","Casual","Member"
0,8.42168674698795,61.3369565217391
1,5.25675675675676,28.554347826087
2,3.89830508474576,16.5604395604396
3,3.025,8.44318181818182
4,1.64864864864865,12.445652173913
5,2.17910447761194,61.3152173913044
6,3.94736842105263,181.891304347826
7,9.94444444444444,449.04347826087
8,21.4673913043478,785.728260869565
9,27.010989010989,451.032608695652
10,38.7065217391304,287.608695652174
11,50.8681318681319,314.554347826087
12,59.9347826086956,371.673913043478
13,63.8901098901099,368.663043478261
14,66.6263736263736,363.891304347826
15,70,427.489130434783
16,66.3076923076923,553.630434782609
17,60.6086956521739,774.347826086957
18,43.2934782608696,609.728260869565
19,26.2747252747253,380.673913043478
20,20.1704545454545,252.467391304348
21,14.8295454545455,187.413043478261
22,14.0333333333333,132.815217391304
23,10.9438202247191,96.9130434782609
